node,year,stage,agency,agency_cat,kw.risk_all,kw.risk_price_all,kw.fluctuation,kw.agri_all,kw.future,kw.agri_future,kw.income,kw.risk_general,kw.risk_price,kw.risk_pricing,kw.dev_prod,kw.dev_argi
1,1988,1,SC,SC,1,23,30,97,1,0,0,0,0,0,0,6
2,1990,1,SC,SC,0,8,1,30,1,0,1,0,0,0,0,0
3,1992,1,SC,SC,0,10,21,47,2,0,2,0,0,1,1,4
4,1993,2,SC,SC,4,0,0,0,41,0,0,0,0,0,0,0
5,1998,2,SC,SC,12,1,1,1,77,0,0,5,0,0,0,0
6,1999,2,SC,SC,21,18,0,0,274,0,0,7,0,1,0,0
7,2004,3,SC,SC,2,1,4,337,1,0,0,0,0,0,1,10
8,2004,3,SC,SC,20,2,22,0,23,0,0,7,0,1,0,0
9,2005,3,SC,SC,2,2,13,406,1,0,0,0,0,0,2,22
10,2006,3,SC,SC,4,0,17,511,1,1,0,0,0,0,1,22
11,2007,4,SC,SC,28,21,1,1,515,0,0,9,0,0,0,0
12,2007,4,SC,SC,1,0,1,33,1,0,0,0,0,0,0,0
13,2003,3,MOA,MOA,1,1,1,162,1,0,0,0,0,0,0,4
14,2005,3,MOA,MOA,2,1,10,339,1,1,0,0,0,0,0,11
15,2006,3,MOA,MOA,0,2,1,233,9,4,0,0,0,1,6,11
16,2007,4,MOA,MOA,1,0,8,401,1,1,0,0,0,0,0,20
17,2010,4,MOA,MOA,2,18,3,42,1,0,0,1,3,0,0,0
18,1999,2,CSRC,EX,32,3,1,0,243,0,2,9,0,0,0,0
19,2002,3,CSRC,EX,22,1,0,0,152,0,1,5,0,0,0,0
20,2007,4,CSRC,EX,31,1,2,0,266,0,1,7,0,0,0,0
21,1999,2,CSRC,EX,18,3,2,0,265,0,0,8,0,0,0,0
22,2002,3,CSRC,EX,10,0,0,0,149,0,0,5,0,0,0,0
23,2007,4,CSRC,EX,52,0,0,0,364,0,1,17,0,0,0,0
24,2004,3,CSRC,EX,128,0,5,2,55,0,0,66,0,0,0,2
25,2007,4,CFFEX,EX,74,0,0,0,11,0,0,37,0,0,0,0
26,2002,3,ZCE,EX,6,1,0,60,87,4,0,3,0,0,0,4
27,2004,3,ZCE,EX,1,1,1,57,63,2,2,0,0,0,0,2
28,2007,4,ZCE,EX,0,0,0,4,11,0,0,0,0,0,0,0
29,2010,4,ZCE,EX,42,77,5,43,295,4,0,10,5,3,0,16
